Subject,X,Y,Z,Pressure,GripAngle,Timestamp,Test_ID,PWP
9,200,203,0,149,1100,0,0,0
9,200,203,0,227,1110,7,0,0
9,199,203,0,288,1110,14,0,0
9,199,203,0,334,1110,21,0,0
9,199,203,0,376,1110,28,0,0
9,199,203,0,410,1100,35,0,0
9,199,203,0,430,1090,42,0,0
9,199,203,0,452,1100,49,0,0
9,199,203,0,471,1110,56,0,0
9,200,203,0,489,1110,63,0,0
9,200,203,0,508,1110,70,0,0
9,200,203,0,522,1120,77,0,0
9,200,203,0,535,1110,84,0,0
9,200,203,0,550,1120,91,0,0
9,200,203,0,561,1120,98,0,0
9,200,203,0,573,1110,105,0,0
9,201,203,0,585,1110,112,0,0
9,201,203,0,590,1120,119,0,0
9,201,202,0,599,1110,126,0,0
9,202,202,0,604,1120,133,0,0
9,202,202,0,605,1120,140,0,0
9,202,202,0,611,1110,147,0,0
9,202,202,0,614,1110,155,0,0
9,202,202,0,617,1110,162,0,0
9,202,201,0,623,1120,169,0,0
9,202,201,0,625,1110,176,0,0
9,202,201,0,631,1120,183,0,0
9,203,201,0,638,1130,190,0,0
9,203,201,0,638,1120,197,0,0
9,203,200,0,643,1120,204,0,0
9,203,200,0,648,1100,211,0,0
9,204,200,0,651,1120,218,0,0
9,204,199,0,658,1110,225,0,0
9,204,199,0,663,1120,232,0,0
9,204,199,0,667,1130,239,0,0
9,204,199,0,676,1120,246,0,0
9,204,198,0,678,1130,253,0,0
9,204,198,0,684,1110,260,0,0
9,204,198,0,690,1100,267,0,0
9,204,198,0,690,1120,274,0,0
9,205,197,0,695,1120,281,0,0
9,205,197,0,699,1120,288,0,0
9,205,196,0,700,1140,295,0,0
9,205,196,0,703,1140,302,0,0
9,205,196,0,706,1130,309,0,0
9,205,195,0,710,1130,316,0,0
9,205,195,0,714,1120,323,0,0
9,205,195,0,716,1100,330,0,0
9,205,194,0,721,1120,337,0,0
9,205,194,0,726,1130,345,0,0
9,204,194,0,727,1120,352,0,0
9,204,193,0,729,1150,359,0,0
9,204,193,0,731,1140,366,0,0
9,204,192,0,730,1130,373,0,0
9,204,192,0,733,1130,380,0,0
9,204,192,0,734,1110,387,0,0
9,204,191,0,734,1100,394,0,0
9,204,191,0,739,1100,401,0,0
9,203,191,0,742,1090,408,0,0
9,203,190,0,744,1100,415,0,0
9,203,190,0,748,1100,422,0,0
9,202,189,0,750,1090,429,0,0
9,202,189,0,754,1100,436,0,0
9,201,189,0,757,1100,443,0,0
9,201,188,0,756,1090,450,0,0
9,200,188,0,759,1100,457,0,0
9,200,187,0,762,1090,464,0,0
9,199,187,0,760,1100,471,0,0
9,199,186,0,762,1100,478,0,0
9,199,186,0,763,1090,485,0,0
9,198,186,0,764,1100,492,0,0
9,198,186,0,770,1090,499,0,0
9,197,185,0,770,1090,506,0,0
9,197,185,0,773,1090,513,0,0
9,196,185,0,776,1080,520,0,0
9,196,184,0,775,1090,528,0,0
9,195,184,0,779,1090,535,0,0
9,194,184,0,781,1090,542,0,0
9,194,183,0,782,1080,549,0,0
9,193,183,0,788,1080,556,0,0
9,193,183,0,790,1080,563,0,0
9,192,183,0,793,1080,570,0,0
9,191,183,0,796,1080,577,0,0
9,191,182,0,796,1090,584,0,0
9,190,182,0,799,1080,591,0,0
9,190,182,0,800,1070,598,0,0
9,190,182,0,800,1080,605,0,0
9,189,182,0,803,1070,612,0,0
9,189,182,0,806,1070,619,0,0
9,188,182,0,803,1080,626,0,0
9,188,183,0,807,1060,633,0,0
9,187,183,0,807,1070,640,0,0
9,186,183,0,807,1080,647,0,0
9,186,183,0,809,1060,654,0,0
9,185,183,0,807,1080,661,0,0
9,185,183,0,807,1080,668,0,0
9,184,183,0,812,1060,675,0,0
9,184,183,0,810,1080,682,0,0
9,183,184,0,812,1070,689,0,0
9,183,184,0,813,1060,696,0,0
9,182,184,0,812,1070,703,0,0
9,182,184,0,814,1060,711,0,0
9,181,185,0,812,1060,718,0,0
9,181,185,0,812,1070,725,0,0
9,180,185,0,815,1060,732,0,0
9,180,186,0,813,1070,739,0,0
9,179,186,0,814,1080,746,0,0
9,179,187,0,816,1070,753,0,0
9,178,187,0,815,1080,760,0,0
9,178,188,0,814,1070,767,0,0
9,177,188,0,815,1060,774,0,0
9,177,189,0,814,1070,781,0,0
9,176,189,0,816,1060,788,0,0
9,176,190,0,815,1070,795,0,0
9,175,191,0,813,1080,802,0,0
9,175,191,0,816,1080,809,0,0
9,174,192,0,814,1080,816,0,0
9,174,192,0,815,1070,823,0,0
9,174,193,0,817,1090,830,0,0
9,173,193,0,814,1080,837,0,0
9,173,194,0,815,1090,844,0,0
9,173,194,0,815,1090,851,0,0
9,172,195,0,814,1080,858,0,0
9,172,195,0,816,1090,865,0,0
9,171,196,0,815,1100,872,0,0
9,171,196,0,815,1100,879,0,0
9,171,197,0,817,1100,886,0,0
9,170,197,0,814,1080,893,0,0
9,170,198,0,816,1080,901,0,0
9,170,198,0,817,1090,908,0,0
9,170,199,0,813,1090,915,0,0
9,169,200,0,815,1080,922,0,0
9,169,200,0,816,1090,929,0,0
9,169,201,0,814,1090,936,0,0
9,168,201,0,814,1080,943,0,0
9,168,202,0,815,1100,950,0,0
9,168,203,0,816,1090,957,0,0
9,167,203,0,815,1090,964,0,0
9,167,203,0,815,1100,971,0,0
9,167,204,0,813,1090,978,0,0
9,167,205,0,815,1100,985,0,0
9,167,205,0,814,1090,992,0,0
9,167,206,0,813,1090,999,0,0
9,166,207,0,816,1090,1006,0,0
9,166,207,0,813,1090,1013,0,0
9,166,208,0,815,1090,1020,0,0
9,166,209,0,815,1090,1027,0,0
9,166,209,0,813,1100,1034,0,0
9,166,210,0,815,1090,1041,0,0
9,166,211,0,814,1090,1048,0,0
9,166,211,0,815,1090,1055,0,0
9,166,212,12,816,1090,1062,0,0
9,166,213,0,815,1080,1069,0,0
9,165,213,0,817,1080,1076,0,0
9,165,214,12,818,1080,1084,0,0
9,165,215,0,816,1100,1091,0,0
9,165,215,0,818,1080,1098,0,0
9,165,216,0,820,1080,1105,0,0
9,165,217,12,818,1070,1112,0,0
9,165,217,12,820,1060,1119,0,0
9,165,218,12,821,1060,1126,0,0
9,165,219,28,828,1060,1133,0,0
9,165,220,0,808,1040,1140,0,0
9,165,220,12,825,1040,1147,0,0
9,165,221,0,818,1040,1154,0,0
9,165,221,0,821,1030,1161,0,0
9,165,222,0,819,1030,1168,0,0
9,166,222,0,821,1030,1175,0,0
9,166,223,0,822,1030,1182,0,0
9,166,224,0,825,1020,1189,0,0
9,166,224,0,823,1020,1196,0,0
9,166,225,0,825,1020,1203,0,0
9,166,225,0,825,1020,1210,0,0
9,166,226,0,826,1030,1217,0,0
9,166,226,0,825,1020,1224,0,0
9,167,227,0,826,1030,1231,0,0
9,167,227,0,827,1030,1238,0,0
9,167,228,0,826,1020,1245,0,0
9,167,228,0,827,1030,1252,0,0
9,167,229,0,829,1030,1259,0,0
9,168,229,0,827,1020,1267,0,0
9,168,230,0,830,1020,1274,0,0
9,168,231,0,831,1030,1281,0,0
9,168,232,0,830,1030,1288,0,0
9,169,232,0,833,1030,1295,0,0
9,169,233,0,830,1030,1302,0,0
9,169,234,0,834,1030,1309,0,0
9,169,234,0,839,1040,1316,0,0
9,170,235,0,837,1050,1323,0,0
